Income,Age,HasDebt,IsEthnicMinority,LanguageAtHome,MaritalStatus,SchoolDegree,SchoolMajor,CityPopulation,CountryCitizen,CountryLive,EmploymentField,EmploymentStatus,Gender,IsSoftwareDev
70000,33,1,1,English,married or domestic partnership,"professional degree (MBA, MD, JD, etc.)",Medicine,"between 100,000 and 1 million",United States of America,United States of America,software development and IT,Employed for wages,female,1
NA,59,0,0,English,married or domestic partnership,"professional degree (MBA, MD, JD, etc.)",Information Technology,"between 100,000 and 1 million",United States of America,United States of America,software development and IT,Self-employed business owner,male,0
NA,31,1,0,English,NA,bachelor's degree,Music,more than 1 million,Australia,United States of America,NA,Not working but looking for work,male,1
25000,31,1,0,Spanish,married or domestic partnership,"professional degree (MBA, MD, JD, etc.)",Economics,more than 1 million,Uruguay,Uruguay,finance,Employed for wages,male,0
87000,24,0,1,Yue (Cantonese) Chinese,NA,bachelor's degree,Biomedical Engineering,more than 1 million,United States of America,United States of America,NA,Employed for wages,male,0
100000,32,1,0,English,married or domestic partnership,"professional degree (MBA, MD, JD, etc.)",Chemical Engineering,"between 100,000 and 1 million",United States of America,United States of America,architecture or physical engineering,Employed for wages,male,1
75000,37,1,0,English,married or domestic partnership,associate's degree,Computer Programming,"between 100,000 and 1 million",United States of America,United States of America,software development and IT,Employed for wages,male,1
50000,38,1,0,English,married or domestic partnership,associate's degree,Information Technology,"less than 100,000",Canada,Canada,software development and IT,Employed for wages,male,0
NA,25,1,1,English,NA,bachelor's degree,Physics,"between 100,000 and 1 million",United States of America,United States of America,NA,Not working but looking for work,male,0
NA,14,0,0,English,NA,some high school,NA,"less than 100,000",United States of America,United States of America,NA,Not working and not looking for work,male,0
NA,34,1,0,English,married or domestic partnership,bachelor's degree,Aviation,"between 100,000 and 1 million",Canada,Canada,transportation,Employed for wages,male,0
NA,53,1,0,NA,NA,"trade, technical, or vocational training",NA,"between 100,000 and 1 million",United States of America,NA,NA,Doing an unpaid internship,male,0
30000,33,0,1,English,NA,Ph.D.,Mechanical Engineering,"between 100,000 and 1 million",United States of America,United States of America,education,Employed for wages,female,1
125000,47,1,0,English,NA,high school diploma or equivalent (GED),NA,more than 1 million,United States of America,United States of America,food and beverage,Self-employed business owner,male,1
140000,33,1,1,English,married or domestic partnership,bachelor's degree,Computer Science,more than 1 million,United States of America,United States of America,software development and IT,Employed for wages,male,0
NA,30,1,1,English,NA,bachelor's degree,Liberal Arts,"less than 100,000",United States of America,United States of America,education,Employed for wages,male,0
NA,39,1,0,English,NA,bachelor's degree,Math,"less than 100,000",United States of America,United States of America,NA,A stay-at-home parent or homemaker,male,0
126000,43,1,1,English,married or domestic partnership,bachelor's degree,Information Technology,"between 100,000 and 1 million",United States of America,United States of America,NA,Employed for wages,male,1
85000,29,1,0,English,married or domestic partnership,"some college credit, no degree",NA,"between 100,000 and 1 million",United States of America,United States of America,software development and IT,Employed for wages,male,0
23000,30,1,0,English,married or domestic partnership,bachelor's degree,English,"less than 100,000",United States of America,United States of America,office and administrative support,Employed for wages,male,0
70000,24,0,0,English,married or domestic partnership,"some college credit, no degree",NA,more than 1 million,United States of America,NA,software development and IT,Employed for wages,male,1
NA,23,0,0,Spanish,NA,high school diploma or equivalent (GED),NA,NA,Argentina,Argentina,NA,Not working but looking for work,male,1
NA,39,1,0,English,married or domestic partnership,master's degree (non-professional),General Studies,"between 100,000 and 1 million",United States of America,United States of America,NA,Military,male,0
NA,51,1,1,English,NA,bachelor's degree,Business Administration,"between 100,000 and 1 million",United States of America,United States of America,NA,Not working but looking for work,female,1
NA,26,1,1,Korean,NA,associate's degree,Psychology,more than 1 million,United States of America,United States of America,NA,Not working but looking for work,male,0
NA,23,0,1,English,NA,bachelor's degree,History,more than 1 million,South Africa,South Africa,NA,Not working and not looking for work,male,1
NA,26,0,0,French,NA,"professional degree (MBA, MD, JD, etc.)",Psychology,"between 100,000 and 1 million",Canada,Canada,NA,Not working and not looking for work,male,1
70000,38,1,0,English,NA,bachelor's degree,Liberal Arts,more than 1 million,United States of America,United States of America,software development and IT,Employed for wages,male,0
50000,29,1,0,English,married or domestic partnership,bachelor's degree,Computer Science,"between 100,000 and 1 million",United States of America,United States of America,software development and IT,Employed for wages,male,1
NA,19,0,1,Vietnamese,NA,some high school,NA,"between 100,000 and 1 million",Vietnam,Vietnam,NA,NA,male,0
49000,35,1,0,English,married or domestic partnership,bachelor's degree,Computer Science,more than 1 million,United States of America,United States of America,software development and IT,Employed for wages,male,0
NA,28,1,0,English,NA,"some college credit, no degree",NA,"less than 100,000",United States of America,United States of America,NA,Unable to work,female,1
34000,35,1,0,English,married or domestic partnership,Ph.D.,Music,"between 100,000 and 1 million",United States of America,United States of America,"arts, entertainment, sports, or media",Employed for wages,male,0
NA,26,1,0,English,married or domestic partnership,"some college credit, no degree",NA,"between 100,000 and 1 million",United States of America,United States of America,NA,Not working but looking for work,male,0
45000,35,1,0,English,married or domestic partnership,master's degree (non-professional),Environmental Science,"between 100,000 and 1 million",United States of America,United States of America,"arts, entertainment, sports, or media",Employed for wages,female,0
35000,25,0,0,English,married or domestic partnership,"professional degree (MBA, MD, JD, etc.)",Business Administration,more than 1 million,Lithuania,Australia,software development and IT,Employed for wages,female,1
53000,30,1,1,English,NA,"professional degree (MBA, MD, JD, etc.)",Advertising and Marketing,more than 1 million,France,Japan,sales,Employed for wages,male,0
40000,27,1,0,English,NA,bachelor's degree,Economics,"between 100,000 and 1 million",United States of America,United States of America,NA,Employed for wages,male,1
NA,38,0,1,English,NA,bachelor's degree,Architecture,more than 1 million,United States of America,United States of America,NA,Not working but looking for work,female,1
NA,17,1,0,Telugu,NA,some high school,NA,more than 1 million,India,India,NA,Not working but looking for work,male,0
NA,25,1,0,English,NA,bachelor's degree,Political Science,"between 100,000 and 1 million",Canada,Canada,NA,NA,female,0
55000,38,1,0,English,married or domestic partnership,"professional degree (MBA, MD, JD, etc.)",Information Systems,"between 100,000 and 1 million",United States of America,United States of America,software development and IT,Employed for wages,male,0
NA,30,1,0,English,NA,master's degree (non-professional),Public Administration,"less than 100,000",United States of America,United States of America,NA,Not working but looking for work,female,0
50000,33,0,0,English,NA,bachelor's degree,Biology,"between 100,000 and 1 million",United States of America,United States of America,NA,Employed for wages,female,1
57000,34,0,0,French,married or domestic partnership,bachelor's degree,Engineering,more than 1 million,Canada,Canada,software development and IT,Employed for wages,male,1
52000,35,1,0,English,NA,"some college credit, no degree",NA,"less than 100,000",United States of America,United States of America,software development and IT,Employed for wages,male,1
80000,29,1,0,English,married or domestic partnership,high school diploma or equivalent (GED),NA,"less than 100,000",United Kingdom,United States of America,software development and IT,Employed for wages,male,1
NA,26,0,0,English,NA,associate's degree,Computer Science,more than 1 million,United States of America,United States of America,NA,Not working but looking for work,male,0
NA,20,0,0,Hindi,NA,some high school,NA,more than 1 million,India,India,NA,Not working but looking for work,male,0
32000,23,1,0,English,NA,bachelor's degree,Music,"less than 100,000",United States of America,United States of America,software development and IT,Employed for wages,male,0
36000,32,1,0,English,NA,bachelor's degree,Liberal Arts,"less than 100,000",United States of America,United States of America,"arts, entertainment, sports, or media",Employed for wages,female,1
9000,29,0,0,Malay Bhasa Indonesia,married or domestic partnership,"some college credit, no degree",NA,"between 100,000 and 1 million",Indonesia,Indonesia,software development and IT,Self-employed freelancer,male,0
50000,37,1,1,English,NA,associate's degree,Political Science,more than 1 million,United States of America,United States of America,software development and IT,Self-employed freelancer,male,0
25000,45,1,0,Spanish,married or domestic partnership,bachelor's degree,Business Administration,more than 1 million,United Kingdom,Chile,software development and IT,Self-employed business owner,male,1
NA,40,1,0,English,NA,master's degree (non-professional),English,"between 100,000 and 1 million",United States of America,United States of America,NA,A stay-at-home parent or homemaker,female,0
23300,28,0,0,English,married or domestic partnership,bachelor's degree,Psychology,"less than 100,000",United States of America,United States of America,education,Employed for wages,male,0
NA,25,1,1,English,NA,associate's degree,Engineering,"less than 100,000",United States of America,United States of America,NA,Not working but looking for work,female,0
19000,24,1,1,English,NA,"some college credit, no degree",NA,"less than 100,000",United States of America,United States of America,NA,Employed for wages,male,1
45000,27,1,1,English,NA,bachelor's degree,Biochemistry,"between 100,000 and 1 million",United States of America,United States of America,education,Self-employed business owner,female,1
NA,45,1,0,English,NA,bachelor's degree,Liberal Arts,"between 100,000 and 1 million",United States of America,United States of America,NA,Not working and not looking for work,female,0
125000,41,1,0,English,married or domestic partnership,master's degree (non-professional),Computer Science,"between 100,000 and 1 million",United States of America,United States of America,NA,Employed for wages,male,0
NA,22,0,0,Spanish,NA,bachelor's degree,Engineering,more than 1 million,Venezuela,Venezuela,NA,Not working but looking for work,male,0
NA,22,1,0,Spanish,NA,"trade, technical, or vocational training",NA,"between 100,000 and 1 million",Dominican Republic,Dominican Republic,software development and IT,Employed for wages,male,1
50000,45,0,1,English,married or domestic partnership,bachelor's degree,Business Administration,"between 100,000 and 1 million",United States of America,United States of America,NA,Employed for wages,female,1
20000,34,1,0,English,divorced,"some college credit, no degree",NA,"between 100,000 and 1 million",United States of America,United States of America,health care,Self-employed freelancer,agender,0
60000,26,0,1,Mandarin Chinese,NA,master's degree (non-professional),Kinesiology And Exercise Science,more than 1 million,Canada,Canada,education,Employed for wages,female,0
NA,25,1,1,English,NA,"professional degree (MBA, MD, JD, etc.)",Business Administration,more than 1 million,United States of America,United States of America,NA,Not working but looking for work,male,1
NA,37,1,0,English,NA,bachelor's degree,Sociology,"between 100,000 and 1 million",United States of America,United States of America,NA,NA,female,1
NA,23,0,0,English,NA,bachelor's degree,Advertising and Marketing,"between 100,000 and 1 million",United States of America,United States of America,NA,Not working but looking for work,male,1
15000,22,0,0,Tagalog,"single, never married",bachelor's degree,Information Technology,"between 100,000 and 1 million",Philippines,Philippines,software development and IT,Employed for wages,male,0
NA,27,1,0,English,NA,"trade, technical, or vocational training",NA,"less than 100,000",United States of America,United States of America,NA,Not working but looking for work,female,0
36000,39,1,0,English,NA,high school diploma or equivalent (GED),NA,"between 100,000 and 1 million",New Zealand,New Zealand,software development and IT,Self-employed freelancer,male,0
NA,26,1,1,English,NA,bachelor's degree,Psychology,"less than 100,000",United States of America,United States of America,NA,NA,female,0
75000,45,1,0,English,NA,Ph.D.,Education,"between 100,000 and 1 million",United States of America,United States of America,software development and IT,Employed for wages,trans,0
NA,17,0,0,English,NA,some high school,NA,NA,Australia,Australia,NA,Unable to work,male,0
30000,36,1,0,English,divorced,bachelor's degree,Theology,more than 1 million,United States of America,United States of America,NA,Employed for wages,male,0
NA,21,0,1,English,NA,associate's degree,Graphic Design,more than 1 million,United States of America,United States of America,NA,Doing an unpaid internship,male,0
NA,25,1,0,English,NA,bachelor's degree,Psychology,"between 100,000 and 1 million",United States of America,United States of America,NA,Unable to work,male,0
NA,31,0,0,English,NA,"some college credit, no degree",NA,"less than 100,000",United States of America,United States of America,NA,Not working but looking for work,male,0
32000,29,1,1,English,NA,master's degree (non-professional),English,more than 1 million,United States of America,Korea South,education,Employed for wages,male,0
NA,26,1,0,English,NA,"some college credit, no degree",NA,more than 1 million,Sweden,Sweden,NA,Not working but looking for work,male,0
14000,28,1,0,English,NA,bachelor's degree,Biology,"less than 100,000",United States of America,United States of America,architecture or physical engineering,Employed for wages,male,0
170000,39,0,0,English,married or domestic partnership,bachelor's degree,Business Administration,more than 1 million,United States of America,United States of America,finance,Employed for wages,male,0
NA,40,0,0,English,married or domestic partnership,master's degree (non-professional),History,"between 100,000 and 1 million",United States of America,United States of America,education,Employed for wages,male,0
NA,20,0,0,Marathi,NA,bachelor's degree,Computer Science,more than 1 million,India,India,NA,Not working but looking for work,male,0
NA,39,1,0,English,NA,"professional degree (MBA, MD, JD, etc.)",Business Administration,"between 100,000 and 1 million",United States of America,United States of America,NA,Not working but looking for work,male,0
NA,19,0,0,Swedish,NA,high school diploma or equivalent (GED),NA,"less than 100,000",Sweden,Sweden,NA,NA,male,0
45000,32,0,1,English,NA,bachelor's degree,Business Administration,"between 100,000 and 1 million",United States of America,United States of America,NA,Employed for wages,male,0
NA,22,0,0,Odia (Oriya),NA,"some college credit, no degree",NA,"between 100,000 and 1 million",India,India,NA,Not working but looking for work,male,1
41000,29,0,0,English,married or domestic partnership,bachelor's degree,Music,"less than 100,000",United States of America,United States of America,software development and IT,Employed for wages,male,1
63000,30,1,0,English,NA,master's degree (non-professional),Geography,"less than 100,000",United States of America,United States of America,software development and IT,Employed for wages,female,0
15000,21,0,0,Spanish,"single, never married","some college credit, no degree",NA,more than 1 million,Argentina,Argentina,software development and IT,Employed for wages,male,0
200000,45,1,0,French,married or domestic partnership,bachelor's degree,Electrical Engineering,more than 1 million,Canada,Canada,sales,Employed for wages,male,1
55000,35,1,1,English,married or domestic partnership,bachelor's degree,Anthropology,"between 100,000 and 1 million",United States of America,United States of America,education,Employed for wages,male,0
38000,28,1,0,English,married or domestic partnership,"some college credit, no degree",NA,more than 1 million,United States of America,United States of America,software development and IT,Employed for wages,male,0
NA,38,1,0,English,separated,bachelor's degree,Anthropology,more than 1 million,United States of America,United States of America,NA,Not working but looking for work,female,1
17000,32,1,1,English,NA,bachelor's degree,Electrical Engineering,"less than 100,000",United States of America,United States of America,software development and IT,Employed for wages,male,1
NA,29,0,1,English,NA,"some college credit, no degree",NA,"less than 100,000",United States of America,United States of America,NA,Not working but looking for work,male,0
NA,18,0,0,English,NA,some high school,NA,"less than 100,000",United States of America,United States of America,NA,Not working but looking for work,male,0
NA,33,1,0,English,NA,"trade, technical, or vocational training",NA,more than 1 million,United Kingdom,Australia,NA,Not working and not looking for work,male,0
NA,34,1,1,Tamil,married or domestic partnership,master's degree (non-professional),Computer Science,"less than 100,000",India,Virgin Islands (USA),NA,Not working but looking for work,female,0
NA,28,1,0,English,married or domestic partnership,bachelor's degree,Liberal Arts,more than 1 million,United States of America,United States of America,NA,Employed for wages,male,1
17000,29,1,0,English,married or domestic partnership,"some college credit, no degree",NA,"between 100,000 and 1 million",United States of America,United States of America,food and beverage,Employed for wages,male,0
NA,28,0,0,English,NA,bachelor's degree,Political Science,"between 100,000 and 1 million",United States of America,United States of America,NA,Not working and not looking for work,male,0
NA,29,0,0,English,NA,bachelor's degree,Organizational Psychology,"between 100,000 and 1 million",United States of America,United States of America,software development and IT,Employed for wages,female,0
28000,28,1,0,English,NA,bachelor's degree,Environmental Science,more than 1 million,United States of America,United States of America,"farming, fishing, and forestry",Employed for wages,female,1
15000,21,0,1,Spanish,NA,bachelor's degree,Communications,NA,United States of America,United States of America,NA,Employed for wages,female,0
6000,21,1,0,English,married or domestic partnership,associate's degree,Computer Science,"between 100,000 and 1 million",United States of America,United States of America,sales,Employed for wages,male,0
NA,34,1,0,English,NA,master's degree (non-professional),NA,more than 1 million,United States of America,United States of America,NA,Not working but looking for work,female,0
NA,20,1,0,Tamil,NA,"some college credit, no degree",NA,more than 1 million,India,India,NA,Unable to work,male,1
50000,26,0,0,NA,NA,master's degree (non-professional),Finance,more than 1 million,NA,NA,NA,Self-employed business owner,male,0
NA,33,1,0,English,NA,bachelor's degree,Psychology,"less than 100,000",United States of America,United States of America,NA,Employed for wages,male,0
NA,23,0,0,Portuguese,NA,high school diploma or equivalent (GED),NA,"less than 100,000",Brazil,Brazil,NA,Not working but looking for work,male,0
50000,43,0,0,English,married or domestic partnership,high school diploma or equivalent (GED),NA,"between 100,000 and 1 million",United States of America,United States of America,construction and extraction,Self-employed business owner,male,0
NA,31,1,0,English,NA,bachelor's degree,Psychology,"between 100,000 and 1 million",United States of America,United States of America,NA,Not working and not looking for work,female,0
NA,30,1,0,English,NA,bachelor's degree,Nutrition,"between 100,000 and 1 million",United States of America,United States of America,NA,Not working but looking for work,female,1
NA,26,1,0,English,NA,associate's degree,Statistics,"less than 100,000",United States of America,United States of America,NA,Not working but looking for work,male,0
53000,33,1,1,English,NA,"trade, technical, or vocational training",NA,"between 100,000 and 1 million",United States of America,United States of America,sales,Employed for wages,male,0
20000,21,0,0,English,NA,some high school,NA,"less than 100,000",United States of America,United States of America,NA,Employed for wages,male,0
NA,30,1,0,English,married or domestic partnership,associate's degree,Business Administration,"between 100,000 and 1 million",United States of America,United States of America,NA,Not working but looking for work,female,0
NA,55,1,1,English,married or domestic partnership,bachelor's degree,Geography,more than 1 million,United States of America,India,NA,Employed for wages,male,0
18000,28,1,0,English,married or domestic partnership,high school diploma or equivalent (GED),NA,"between 100,000 and 1 million",Brunei,Brunei,software development and IT,Employed for wages,male,0
6000,20,0,0,Gujarati,NA,bachelor's degree,Communications,"between 100,000 and 1 million",India,India,software development and IT,Employed for wages,male,1
38000,31,1,1,English,married or domestic partnership,bachelor's degree,Computer Networking,more than 1 million,Guatemala,United States of America,software development and IT,Employed for wages,male,1
21700,26,0,0,Tagalog,"single, never married",bachelor's degree,Computer Science,"between 100,000 and 1 million",Philippines,Singapore,software development and IT,Employed for wages,female,0
NA,23,0,0,Yoruba,NA,some high school,NA,more than 1 million,Nigeria,Nigeria,NA,Unable to work,male,1
NA,21,0,0,Marwari,NA,bachelor's degree,Electrical Engineering,more than 1 million,India,India,NA,Not working but looking for work,male,0
31000,29,1,0,English,NA,bachelor's degree,Environmental and Wildlife Management,"less than 100,000",NA,United States of America,NA,Employed for wages,female,0
20000,28,1,0,English,NA,bachelor's degree,English,"between 100,000 and 1 million",United States of America,United States of America,NA,Self-employed business owner,male,1
12000,29,0,0,Vietnamese,NA,master's degree (non-professional),Information Technology,more than 1 million,Vietnam,Vietnam,software development and IT,Employed for wages,male,0
100000,43,1,0,English,"single, never married",master's degree (non-professional),Computer Science,"less than 100,000",United States of America,United States of America,software development and IT,Employed for wages,male,0
95000,34,1,0,English,married or domestic partnership,bachelor's degree,Computer Science,more than 1 million,United States of America,United States of America,software development and IT,Employed for wages,male,1
43000,27,1,0,English,NA,bachelor's degree,Business Administration,"less than 100,000",United States of America,United States of America,software development and IT,Employed for wages,female,0
NA,25,0,0,English,married or domestic partnership,high school diploma or equivalent (GED),NA,more than 1 million,United States of America,United States of America,software development and IT,Employed for wages,male,0
130000,50,0,0,English,divorced,"professional degree (MBA, MD, JD, etc.)",Business Administration,"between 100,000 and 1 million",United States of America,United States of America,software development and IT,Employed for wages,male,0
30000,18,1,0,English,NA,associate's degree,Advertising and Marketing,"between 100,000 and 1 million",United States of America,United States of America,NA,Self-employed freelancer,male,0
NA,27,0,0,Portuguese,NA,"some college credit, no degree",NA,"between 100,000 and 1 million",Brazil,Brazil,NA,Not working but looking for work,male,0
63000,34,0,0,English,NA,bachelor's degree,History,more than 1 million,United States of America,United States of America,software development and IT,Employed for wages,male,0
NA,34,0,1,Spanish,NA,bachelor's degree,Environmental Science,"between 100,000 and 1 million",United States of America,United States of America,NA,NA,female,0
50000,35,1,0,English,married or domestic partnership,master's degree (non-professional),Communications,"less than 100,000",United States of America,United States of America,software development and IT,Employed for wages,male,0
NA,28,0,0,English,NA,"trade, technical, or vocational training",NA,"between 100,000 and 1 million",Australia,Australia,software development and IT,Self-employed freelancer,male,0
NA,28,0,0,NA,NA,bachelor's degree,NA,more than 1 million,United States of America,NA,NA,Not working and not looking for work,male,0
10000,24,0,0,Mandarin Chinese,NA,bachelor's degree,Computer Science,more than 1 million,China,China,software development and IT,Employed for wages,male,0
23000,32,0,0,Gujarati,"single, never married",bachelor's degree,Computer Science,more than 1 million,India,India,software development and IT,Employed for wages,male,0
45000,31,1,0,English,NA,"some college credit, no degree",NA,"less than 100,000",United States of America,United States of America,transportation,Employed for wages,male,0
65000,48,1,1,English,divorced,"some college credit, no degree",NA,"between 100,000 and 1 million",United States of America,United States of America,sales,Employed for wages,male,0
25000,24,1,1,English,NA,bachelor's degree,Anthropology,more than 1 million,United States of America,Korea South,education,Employed for wages,male,1
NA,25,1,0,Swedish,NA,bachelor's degree,Civil Engineering,"between 100,000 and 1 million",Sweden,Norway,NA,Not working and not looking for work,male,0
25000,29,0,0,Spanish,NA,"professional degree (MBA, MD, JD, etc.)",Computer Science,"less than 100,000",El Salvador,Canada,software development and IT,Employed for wages,male,0
35000,26,1,0,English,"single, never married",associate's degree,General Studies,"between 100,000 and 1 million",United States of America,United States of America,construction and extraction,Employed for wages,male,0
20000,29,1,1,English,married or domestic partnership,"some college credit, no degree",NA,more than 1 million,South Africa,South Africa,"arts, entertainment, sports, or media",Employed for wages,male,0
NA,36,0,1,English,NA,bachelor's degree,Economics,"between 100,000 and 1 million",South Africa,NA,NA,A stay-at-home parent or homemaker,female,0
NA,29,0,0,Spanish,NA,"some college credit, no degree",NA,"between 100,000 and 1 million",Colombia,Colombia,NA,Not working but looking for work,male,0
NA,20,0,0,English,"single, never married",some high school,NA,more than 1 million,Korea South,Korea South,NA,Not working but looking for work,male,0
NA,19,1,1,Malayalam,NA,"some college credit, no degree",NA,more than 1 million,India,India,NA,Not working and not looking for work,male,0
NA,24,1,0,English,NA,"some college credit, no degree",NA,"between 100,000 and 1 million",Canada,Canada,NA,Not working but looking for work,male,0
NA,19,0,0,Hindi,NA,"some college credit, no degree",NA,more than 1 million,India,India,NA,Not working and not looking for work,male,0
6720,31,0,0,Bengali,married or domestic partnership,"professional degree (MBA, MD, JD, etc.)",Computer Science,more than 1 million,Bangladesh,Bangladesh,software development and IT,Employed for wages,male,0
NA,29,0,0,English,NA,bachelor's degree,Computer Science,"less than 100,000",United States of America,United States of America,NA,Not working but looking for work,male,0
11000,48,1,0,English,NA,bachelor's degree,Sociology,"less than 100,000",United States of America,United States of America,NA,Self-employed freelancer,female,1
NA,32,1,0,English,divorced,"some college credit, no degree",NA,"between 100,000 and 1 million",United States of America,United States of America,NA,NA,male,0
80000,30,1,1,English,NA,bachelor's degree,Business Administration,more than 1 million,Singapore,United Arab Emirates,sales,Employed for wages,male,0
8000,21,0,1,Hindi,NA,bachelor's degree,Electrical Engineering,more than 1 million,India,India,software development and IT,Employed for wages,male,0
NA,46,1,0,English,married or domestic partnership,high school diploma or equivalent (GED),NA,more than 1 million,India,India,NA,Not working but looking for work,male,1
NA,28,1,1,Akan,NA,master's degree (non-professional),International Relations,more than 1 million,United States of America,United States of America,NA,Not working but looking for work,female,1
41000,24,1,1,Yoruba,NA,bachelor's degree,Biology,more than 1 million,United States of America,United States of America,health care,Employed for wages,male,1
45000,27,1,0,English,married or domestic partnership,bachelor's degree,Chemical Engineering,"between 100,000 and 1 million",United States of America,United States of America,software development and IT,Employed for wages,male,1
NA,24,1,1,Dutch,NA,"some college credit, no degree",NA,"less than 100,000","Netherlands (Holland, Europe)","Netherlands (Holland, Europe)",NA,Not working but looking for work,female,0
6000,27,1,0,Cebuano (Visayan),NA,bachelor's degree,Information Technology,more than 1 million,Philippines,Philippines,software development and IT,Employed for wages,male,1
30000,24,0,0,Hindi,"single, never married",bachelor's degree,Computer Science,more than 1 million,India,Japan,software development and IT,Employed for wages,male,0
42000,45,1,0,English,NA,"some college credit, no degree",NA,"less than 100,000",United States of America,United States of America,NA,Employed for wages,male,0
50000,35,1,0,Telugu,married or domestic partnership,Ph.D.,Molecular Biology,"less than 100,000",India,United States of America,NA,Employed for wages,male,0
NA,25,0,0,Portuguese,NA,high school diploma or equivalent (GED),NA,more than 1 million,Brazil,Brazil,NA,Doing an unpaid internship,male,0
NA,17,0,0,Hindi,NA,no high school (secondary school),NA,more than 1 million,India,Singapore,NA,NA,male,0
NA,20,0,0,Telugu,NA,high school diploma or equivalent (GED),NA,more than 1 million,India,India,NA,Not working but looking for work,male,0
NA,26,1,1,English,married or domestic partnership,"some college credit, no degree",NA,"less than 100,000",United States of America,United States of America,NA,Not working but looking for work,male,0
44000,29,1,1,English,NA,"some college credit, no degree",NA,more than 1 million,United States of America,United States of America,software development and IT,Employed for wages,female,0
12000,17,0,0,English,NA,high school diploma or equivalent (GED),NA,more than 1 million,United States of America,United States of America,food and beverage,Employed for wages,male,NA
50000,75,0,1,English,NA,bachelor's degree,Psychology,"between 100,000 and 1 million",United States of America,United States of America,NA,Self-employed freelancer,female,0
NA,24,0,0,English,NA,"some college credit, no degree",NA,"less than 100,000",United States of America,United States of America,NA,Not working and not looking for work,male,0
40000,24,1,0,English,married or domestic partnership,high school diploma or equivalent (GED),NA,"between 100,000 and 1 million",Australia,Australia,software development and IT,Self-employed freelancer,male,1
50000,29,0,1,English,NA,bachelor's degree,Political Science,"between 100,000 and 1 million",United States of America,United States of America,software development and IT,Employed for wages,male,0
NA,22,0,0,Telugu,NA,bachelor's degree,Information Technology,more than 1 million,India,India,software development and IT,Employed for wages,male,0
NA,31,1,1,English,married or domestic partnership,"some college credit, no degree",NA,more than 1 million,Australia,Australia,NA,A stay-at-home parent or homemaker,male,0
NA,20,0,0,Punjabi,"single, never married",bachelor's degree,Computer Science,more than 1 million,India,India,NA,Not working but looking for work,male,0
NA,27,0,0,Portuguese,NA,bachelor's degree,Anthropology,"between 100,000 and 1 million",Portugal,Portugal,NA,Not working but looking for work,female,0
8500,24,0,0,Telugu,"single, never married",bachelor's degree,Computer Science,more than 1 million,India,India,software development and IT,Employed for wages,male,0
NA,34,0,0,English,married or domestic partnership,bachelor's degree,Aviation,"less than 100,000",United States of America,United States of America,NA,Military,male,0
NA,21,0,1,Mandarin Chinese,NA,bachelor's degree,Sociology,"less than 100,000",United States of America,United States of America,NA,Doing an unpaid internship,female,0
NA,34,1,NA,English,separated,"some college credit, no degree",NA,more than 1 million,United States of America,United States of America,transportation,Employed for wages,male,0
45000,31,1,0,English,NA,master's degree (non-professional),History,"between 100,000 and 1 million",United States of America,United States of America,NA,Employed for wages,male,0
20000,26,1,1,English,NA,bachelor's degree,Advertising and Marketing,"between 100,000 and 1 million",United States of America,United States of America,"arts, entertainment, sports, or media",Self-employed freelancer,female,0
40000,23,1,1,Korean,NA,bachelor's degree,Economics,"less than 100,000",United States of America,United States of America,office and administrative support,Employed for wages,female,0
NA,20,1,0,Tagalog,NA,high school diploma or equivalent (GED),NA,more than 1 million,Philippines,Philippines,NA,Not working but looking for work,genderqueer,0
NA,24,0,NA,Bengali,NA,high school diploma or equivalent (GED),NA,more than 1 million,Bangladesh,Bangladesh,NA,NA,male,1
NA,26,0,0,Yoruba,NA,associate's degree,Business Administration,"between 100,000 and 1 million",Nigeria,Nigeria,NA,Doing an unpaid internship,male,0
NA,28,1,0,English,married or domestic partnership,"some college credit, no degree",NA,"less than 100,000",United States of America,United States of America,NA,Not working but looking for work,male,0
NA,34,NA,1,NA,NA,bachelor's degree,Music,"between 100,000 and 1 million",United States of America,United States of America,NA,Self-employed freelancer,male,0
NA,21,0,0,Tamil,NA,bachelor's degree,Computer Science,more than 1 million,India,India,NA,Not working but looking for work,female,0
40000,38,0,0,English,NA,bachelor's degree,Music,"between 100,000 and 1 million",United States of America,United States of America,transportation,Employed for wages,male,1
NA,17,0,1,English,NA,some high school,NA,"between 100,000 and 1 million",Trinidad & Tobago,Trinidad & Tobago,NA,NA,female,0
NA,22,0,0,Belarusian,NA,bachelor's degree,Computer Science,"between 100,000 and 1 million",Israel,Israel,NA,Military,male,0
40000,20,0,1,English,NA,bachelor's degree,Computer Science,more than 1 million,India,India,software development and IT,Self-employed freelancer,male,0
NA,22,1,0,English,NA,high school diploma or equivalent (GED),NA,"between 100,000 and 1 million",Singapore,Canada,NA,NA,male,1
NA,24,1,1,English,NA,high school diploma or equivalent (GED),NA,more than 1 million,United States of America,United States of America,NA,Not working but looking for work,male,0
35000,31,0,0,English,NA,high school diploma or equivalent (GED),NA,more than 1 million,United States of America,Australia,food and beverage,Employed for wages,male,0
NA,59,1,0,English,NA,bachelor's degree,Business Administration,"less than 100,000",United States of America,United States of America,NA,Retired,male,0
77000,28,0,0,English,married or domestic partnership,"professional degree (MBA, MD, JD, etc.)",Finance,more than 1 million,United States of America,United States of America,finance,Employed for wages,male,0
