Age,CityPopulation,CountryCitizen,CountryLive,EmploymentField,EmploymentStatus,Gender,HasDebt,Income,IsEthnicMinority,LanguageAtHome,MaritalStatus,SchoolDegree,SchoolMajor,IsSoftwareDev
24,"between 100,000 and 1 million",Indonesia,Indonesia,NA,Not working and not looking for work,male,0,NA,0,Indonesian,NA,high school diploma or equivalent (GED),NA,0
15,more than 1 million,United Kingdom,United Kingdom,NA,Not working and not looking for work,male,0,NA,0,English,NA,some high school,NA,0
37,"between 100,000 and 1 million",United States of America,United States of America,education,Employed for wages,male,1,34000,0,English,married or domestic partnership,bachelor's degree,Liberal Arts,0
19,"between 100,000 and 1 million",United States of America,United States of America,NA,NA,male,NA,NA,1,Russian,NA,high school diploma or equivalent (GED),NA,0
29,more than 1 million,New Zealand,Australia,office and administrative support,Employed for wages,male,1,20300,0,English,NA,"some college credit, no degree",NA,0
26,more than 1 million,United States of America,United States of America,software development and IT,Employed for wages,male,1,30000,0,English,NA,bachelor's degree,Philosophy,0
25,"between 100,000 and 1 million",United States of America,United States of America,NA,Employed for wages,male,1,7000,0,English,NA,"some college credit, no degree",NA,0
28,"less than 100,000",United States of America,United States of America,sales,Self-employed business owner,female,1,52000,1,English,NA,bachelor's degree,Business Administration and Management,0
24,"less than 100,000",United States of America,United States of America,finance,Employed for wages,male,1,7623,1,Korean,"single, never married",bachelor's degree,Mathematics,0
21,"between 100,000 and 1 million",United States of America,United States of America,NA,Not working but looking for work,female,0,NA,1,English,NA,"some college credit, no degree",NA,0
22,more than 1 million,Germany,Germany,transportation,Employed for wages,male,0,20000,0,German,NA,"some college credit, no degree",NA,0
31,"between 100,000 and 1 million",United States of America,United States of America,law enforcement and fire and rescue,Employed for wages,male,0,44000,0,English,NA,associate's degree,Emergency Medical Technician (EMT Paramedic),0
19,more than 1 million,United States of America,United States of America,office and administrative support,Employed for wages,male,1,10000,0,English,NA,"some college credit, no degree",NA,0
20,more than 1 million,Australia,Australia,software development and IT,Employed for wages,male,1,19000,0,English,NA,"trade, technical, or vocational training",NA,0
27,"between 100,000 and 1 million",United States of America,United States of America,NA,Employed for wages,female,1,45000,0,English,married or domestic partnership,master's degree (non-professional),Mathematics,0
18,more than 1 million,India,India,NA,Not working and not looking for work,male,0,NA,0,Hindi,NA,high school diploma or equivalent (GED),NA,0
27,"between 100,000 and 1 million",United States of America,United States of America,legal,Employed for wages,male,0,74000,1,English,NA,bachelor's degree,Chemical Engineering,0
28,"between 100,000 and 1 million",United States of America,United States of America,software development and IT,Employed for wages,male,1,33000,1,English,NA,bachelor's degree,Linguistics,0
26,more than 1 million,Turkey,Turkey,NA,Not working but looking for work,male,0,NA,0,Turkish,married or domestic partnership,"some college credit, no degree",NA,0
29,more than 1 million,United States of America,Taiwan,software development and IT,Employed for wages,female,0,30000,0,Mandarin Chinese,NA,bachelor's degree,Accounting,0
28,"between 100,000 and 1 million",United States of America,Spain,NA,Not working and not looking for work,male,0,NA,0,English,NA,bachelor's degree,Biology,0
NA,more than 1 million,Australia,Australia,NA,Not working and not looking for work,male,1,NA,0,English,NA,bachelor's degree,Psychology,0
26,more than 1 million,United States of America,United States of America,software development and IT,Employed for wages,male,1,125000,0,English,NA,bachelor's degree,Marketing,0
44,"between 100,000 and 1 million",United States of America,United States of America,NA,A stay-at-home parent or homemaker,male,0,NA,0,English,NA,associate's degree,Math,0
24,more than 1 million,Brazil,Brazil,NA,Not working and not looking for work,male,0,NA,0,Portuguese,NA,bachelor's degree,Computer Science,0
23,"less than 100,000",United States of America,United States of America,sales,Employed for wages,male,1,28000,0,English,NA,"some college credit, no degree",NA,0
19,"between 100,000 and 1 million",India,India,NA,Not working but looking for work,male,0,NA,0,Tamil,NA,bachelor's degree,Information Technology,0
43,"between 100,000 and 1 million",United States of America,United States of America,sales,Self-employed freelancer,male,1,62000,0,English,NA,"some college credit, no degree",NA,0
17,"less than 100,000",United States of America,United States of America,NA,Not working and not looking for work,male,0,NA,0,English,NA,some high school,NA,0
17,more than 1 million,India,India,NA,Not working and not looking for work,male,0,NA,0,Hindi,NA,high school diploma or equivalent (GED),NA,0
28,"between 100,000 and 1 million",Brunei,Brunei,law enforcement and fire and rescue,Employed for wages,male,1,43000,1,Chinese,married or domestic partnership,master's degree (non-professional),Forensic Science,0
24,more than 1 million,Brazil,Japan,NA,Employed for wages,male,0,20000,1,Portuguese,NA,no high school (secondary school),NA,0
41,more than 1 million,United States of America,United States of America,sales,Employed for wages,male,0,90000,0,English,divorced,high school diploma or equivalent (GED),NA,0
32,more than 1 million,France,Japan,education,Self-employed business owner,male,0,20000,1,English,NA,"some college credit, no degree",NA,0
30,more than 1 million,United States of America,United States of America,education,Employed for wages,male,1,40000,1,English,married or domestic partnership,master's degree (non-professional),Teaching English as a Second Language,0
14,"less than 100,000",United States of America,United States of America,NA,Not working and not looking for work,male,0,NA,0,English,NA,no high school (secondary school),NA,0
18,"less than 100,000",Germany,Germany,NA,NA,male,0,NA,0,German,NA,some high school,NA,0
24,"between 100,000 and 1 million",United States of America,United States of America,health care,Employed for wages,female,1,15000,0,English,NA,bachelor's degree,Exercise Physiology,0
27,"less than 100,000",Canada,Canada,NA,Self-employed business owner,female,0,16000,0,English,NA,"some college credit, no degree",NA,0
28,more than 1 million,Malaysia,Malaysia,NA,Employed for wages,male,0,25000,1,Yue (Cantonese) Chinese,NA,bachelor's degree,Electrical and Electronics Engineering,0
21,"between 100,000 and 1 million",India,India,NA,Not working but looking for work,male,0,NA,0,English,NA,bachelor's degree,Information Technology,0
17,"less than 100,000",United States of America,United States of America,NA,Not working and not looking for work,male,0,NA,1,English,NA,some high school,NA,0
42,"less than 100,000",United States of America,United States of America,NA,Not working but looking for work,male,1,NA,0,English,married or domestic partnership,bachelor's degree,Business Administration and Management,0
27,more than 1 million,United States of America,United States of America,education,Employed for wages,male,1,37000,0,English,married or domestic partnership,master's degree (non-professional),Counseling Psychology,0
35,"between 100,000 and 1 million",Canada,Canada,NA,Military,male,1,NA,0,English,NA,"trade, technical, or vocational training",NA,0
26,"between 100,000 and 1 million",United States of America,United States of America,NA,Employed for wages,female,1,19000,1,English,NA,associate's degree,"Animation, Video Graphics and Special Effects",0
39,"between 100,000 and 1 million",United States of America,United States of America,"arts, entertainment, sports, or media",Self-employed freelancer,male,1,26500,0,English,married or domestic partnership,"professional degree (MBA, MD, JD, etc.)",Public Administration,0
28,"less than 100,000",Ecuador,Ecuador,NA,Not working but looking for work,male,1,NA,0,Spanish,NA,"professional degree (MBA, MD, JD, etc.)",Law,0
34,more than 1 million,Hong Kong,Hong Kong,software development and IT,Employed for wages,female,0,20000,0,Chinese,married or domestic partnership,master's degree (non-professional),Chemistry,0
35,"less than 100,000",Uzbekistan,United States of America,food and beverage,Employed for wages,male,0,20000,0,Uzbek,married or domestic partnership,associate's degree,Math,0
25,"between 100,000 and 1 million",United States of America,United States of America,education,Employed for wages,male,1,41000,0,English,NA,master's degree (non-professional),International Studies,0
31,"between 100,000 and 1 million",Canada,Canada,software development and IT,Employed for wages,female,1,45000,0,English,NA,bachelor's degree,Political Science,0
39,more than 1 million,Korea South,Korea South,software development and IT,Employed for wages,male,0,30000,0,Korean,married or domestic partnership,bachelor's degree,Mathematics,0
25,more than 1 million,United States of America,United States of America,NA,Not working but looking for work,male,1,NA,1,Spanish,NA,bachelor's degree,Political Science,0
22,"between 100,000 and 1 million",United States of America,United States of America,NA,Not working and not looking for work,female,1,NA,1,English,NA,"some college credit, no degree",NA,0
30,more than 1 million,Russia,Russia,construction and extraction,Employed for wages,male,0,8700,1,Tatar,NA,"professional degree (MBA, MD, JD, etc.)",Electrical and Power Transmission Installation,0
35,"between 100,000 and 1 million",United States of America,NA,software development and IT,Employed for wages,male,1,50000,1,English,married or domestic partnership,NA,NA,0
22,"less than 100,000",Mexico,United States of America,software development and IT,Employed for wages,male,1,30000,1,Spanish,NA,associate's degree,Information Systems,0
31,more than 1 million,United States of America,Japan,education,Employed for wages,male,1,60000,1,English,NA,master's degree (non-professional),Linguistics,0
30,more than 1 million,United States of America,United States of America,finance,Employed for wages,male,0,80000,0,English,NA,master's degree (non-professional),Business Administration,0
12,"between 100,000 and 1 million",United Kingdom,United Kingdom,NA,Not working but looking for work,male,0,NA,0,English,NA,no high school (secondary school),NA,0
24,more than 1 million,Malaysia,Malaysia,office and administrative support,Employed for wages,male,1,10000,1,English,NA,bachelor's degree,Actuarial Science,0
32,"between 100,000 and 1 million",United States of America,United States of America,NA,A stay-at-home parent or homemaker,female,0,NA,0,Russian,NA,bachelor's degree,International Relations,0
23,more than 1 million,United States of America,United States of America,health care,Employed for wages,male,0,70000,1,Mandarin Chinese,NA,bachelor's degree,Biochemistry,0
19,"between 100,000 and 1 million",United States of America,United States of America,NA,Doing an unpaid internship,male,0,NA,1,English,NA,"some college credit, no degree",NA,0
30,more than 1 million,Italy,Italy,office and administrative support,Employed for wages,male,0,20000,0,Italian,NA,bachelor's degree,"Linguistics, Interpretation, and Translation",0
17,"less than 100,000",Germany,Germany,NA,Not working but looking for work,male,0,NA,0,German,NA,some high school,NA,0
16,"between 100,000 and 1 million",United States of America,United States of America,NA,NA,female,0,NA,1,Chinese,NA,some high school,NA,0
34,"less than 100,000",Kyrgyzstan,Switzerland,NA,Not working but looking for work,female,0,NA,1,Russian,married or domestic partnership,"professional degree (MBA, MD, JD, etc.)",Political Science,0
29,more than 1 million,Turkey,Turkey,NA,Employed for wages,male,1,18000,0,Turkish,married or domestic partnership,bachelor's degree,Communications,0
33,more than 1 million,Australia,Australia,health care,Employed for wages,female,1,30000,0,English,married or domestic partnership,"trade, technical, or vocational training",NA,0
63,"less than 100,000","Netherlands (Holland, Europe)","Netherlands (Holland, Europe)","arts, entertainment, sports, or media",Self-employed freelancer,male,1,12000,0,Dutch,married or domestic partnership,"trade, technical, or vocational training",NA,0
41,"less than 100,000",Israel,Israel,NA,Not working but looking for work,female,0,NA,0,Hebrew,married or domestic partnership,"trade, technical, or vocational training",NA,0
22,"less than 100,000",France,France,sales,Employed for wages,male,0,15000,0,French,NA,bachelor's degree,Selling and Sales,0
18,"between 100,000 and 1 million",Lithuania,Lithuania,NA,Not working and not looking for work,male,0,NA,0,Lithuanian,NA,high school diploma or equivalent (GED),NA,0
36,"less than 100,000",United States of America,United States of America,NA,Employed for wages,male,1,56000,0,English,NA,bachelor's degree,Engineering,0
44,"less than 100,000",United Kingdom,United Kingdom,software development and IT,Employed for wages,male,NA,78000,0,English,NA,"some college credit, no degree",NA,0
19,NA,Sweden,Sweden,food and beverage,Employed for wages,male,0,NA,0,Swedish,NA,high school diploma or equivalent (GED),NA,0
29,more than 1 million,Nigeria,Nigeria,education,Employed for wages,male,0,10000,0,English,NA,bachelor's degree,Electrical and Electronics Engineering,0
26,"less than 100,000",Germany,Germany,NA,Unable to work,male,1,NA,0,German,NA,"some college credit, no degree",NA,0
30,"less than 100,000",United Kingdom,United Kingdom,software development and IT,Employed for wages,male,0,45000,0,English,married or domestic partnership,"some college credit, no degree",NA,0
22,"between 100,000 and 1 million",India,India,NA,Not working but looking for work,male,0,NA,0,Hindi,NA,bachelor's degree,Computer Science,0
36,"between 100,000 and 1 million",South Africa,South Africa,NA,Self-employed freelancer,female,1,12000,1,English,NA,"some college credit, no degree",NA,0
32,more than 1 million,South Africa,South Africa,software development and IT,Employed for wages,male,1,17200,0,English,married or domestic partnership,"some college credit, no degree",NA,0
27,"between 100,000 and 1 million",Russia,Russia,NA,Not working but looking for work,male,0,NA,0,Russian,NA,"professional degree (MBA, MD, JD, etc.)",Mechanical Engineering,0
29,more than 1 million,India,India,software development and IT,Employed for wages,male,0,6800,0,Gujarati,"single, never married",bachelor's degree,Psychology,0
27,"between 100,000 and 1 million",Hong Kong,Hong Kong,"arts, entertainment, sports, or media",Employed for wages,female,0,35000,0,Yue (Cantonese) Chinese,"single, never married",bachelor's degree,Hotel and Hospitality Management,0
25,"less than 100,000",Croatia,Croatia,software development and IT,Employed for wages,male,0,15000,0,Croatian,NA,bachelor's degree,Information Technology,0
21,"between 100,000 and 1 million",Sweden,Sweden,NA,Not working but looking for work,male,1,NA,0,Swedish,NA,high school diploma or equivalent (GED),NA,0
27,"less than 100,000",United Kingdom,United Kingdom,NA,Not working but looking for work,male,0,NA,0,English,NA,"some college credit, no degree",NA,0
26,"less than 100,000",Poland,Poland,office and administrative support,Employed for wages,male,0,9000,0,Polish,NA,bachelor's degree,Civil Engineering,0
18,"less than 100,000",Germany,Germany,NA,NA,male,0,NA,0,German,NA,NA,NA,0
36,"between 100,000 and 1 million",Germany,Germany,office and administrative support,Employed for wages,male,0,23000,0,German,married or domestic partnership,master's degree (non-professional),Sociology,0
52,"less than 100,000",United States of America,United States of America,software development and IT,Employed for wages,male,1,61000,0,English,married or domestic partnership,bachelor's degree,Social Science Research Methods,0
30,"less than 100,000",United States of America,Korea South,education,Employed for wages,female,1,22000,1,English,married or domestic partnership,bachelor's degree,Economics,0
28,more than 1 million,United States of America,United States of America,software development and IT,Employed for wages,male,1,40000,0,Yiddish,married or domestic partnership,some high school,NA,0
32,"less than 100,000",United States of America,United States of America,NA,Military,male,1,NA,0,English,married or domestic partnership,associate's degree,General Studies,0
34,more than 1 million,United States of America,United States of America,NA,Military,male,1,NA,0,English,married or domestic partnership,associate's degree,Music Teacher Education,0
28,"between 100,000 and 1 million",Puerto Rico,Puerto Rico,NA,Employed for wages,male,1,13000,0,Spanish,NA,bachelor's degree,Psychology,0
48,more than 1 million,United States of America,United States of America,NA,NA,female,0,NA,0,English,NA,Ph.D.,Music Performance,0
19,"less than 100,000",United States of America,United States of America,NA,Employed for wages,male,0,12000,0,English,NA,high school diploma or equivalent (GED),NA,0
32,more than 1 million,Brazil,Brazil,NA,Not working but looking for work,male,0,NA,0,Portuguese,NA,some high school,NA,0
30,more than 1 million,United States of America,United States of America,NA,Not working but looking for work,male,1,NA,1,English,NA,bachelor's degree,Psychology,0
42,more than 1 million,Greece,Greece,education,Self-employed freelancer,male,1,25000,0,Greek,married or domestic partnership,Ph.D.,Business Administration and Management,0
27,more than 1 million,United States of America,United States of America,health care,Employed for wages,male,1,43000,0,English,NA,bachelor's degree,Spanish Language and Literature,0
39,more than 1 million,Russia,Russia,NA,Employed for wages,male,0,65000,0,Russian,"single, never married",master's degree (non-professional),Public Relations,0
18,"less than 100,000",United States of America,United States of America,NA,Not working and not looking for work,male,0,NA,0,English,NA,"some college credit, no degree",NA,0
21,more than 1 million,Philippines,Hong Kong,NA,Not working and not looking for work,male,0,NA,1,Tagalog,NA,"some college credit, no degree",NA,0
28,"between 100,000 and 1 million",Italy,Spain,NA,Not working but looking for work,male,0,NA,0,Italian,NA,"some college credit, no degree",NA,0
20,more than 1 million,India,India,NA,Not working but looking for work,male,0,NA,0,Hindi,NA,bachelor's degree,Computer Science,0
30,more than 1 million,Germany,Malaysia,NA,NA,male,0,NA,1,German,NA,bachelor's degree,Computer Science,0
53,more than 1 million,United States of America,United States of America,office and administrative support,Employed for wages,female,1,30000,0,English,married or domestic partnership,bachelor's degree,Journalism,0
28,"between 100,000 and 1 million",Romania,Romania,software development and IT,Employed for wages,male,1,8000,0,Romanian,NA,bachelor's degree,Civil Engineering,0
46,"between 100,000 and 1 million",United States of America,United States of America,NA,Employed for wages,male,1,30000,0,English,married or domestic partnership,high school diploma or equivalent (GED),NA,0
50,more than 1 million,United Kingdom,United Kingdom,education,Employed for wages,male,0,10000,0,English,NA,bachelor's degree,Liberal Arts and Humanities,0
39,more than 1 million,Japan,Japan,software development and IT,Employed for wages,male,1,50000,0,Japanese,NA,bachelor's degree,Law,0
26,"less than 100,000",United States of America,United States of America,office and administrative support,Employed for wages,male,1,38000,1,English,NA,bachelor's degree,English,0
31,"between 100,000 and 1 million",Kyrgyzstan,United States of America,office and administrative support,Employed for wages,female,1,47000,1,English,"single, never married","some college credit, no degree",NA,0
23,more than 1 million,Poland,Poland,NA,Not working but looking for work,male,0,NA,0,Polish,NA,"some college credit, no degree",NA,0
26,"less than 100,000",United States of America,United States of America,software development and IT,Employed for wages,male,1,NA,0,English,married or domestic partnership,associate's degree,Information Technology,0
31,"less than 100,000",United States of America,United States of America,NA,Doing an unpaid internship,male,1,NA,0,English,married or domestic partnership,"some college credit, no degree",NA,0
46,"less than 100,000",United States of America,United States of America,software development and IT,Employed for wages,male,1,65000,0,English,married or domestic partnership,associate's degree,Computer Programming,0
29,more than 1 million,Russia,Russia,software development and IT,Employed for wages,male,0,15000,0,Russian,NA,master's degree (non-professional),"Linguistics, Interpretation, and Translation",0
28,"between 100,000 and 1 million",Venezuela,Venezuela,finance,Employed for wages,male,1,61000,0,Spanish,"single, never married","professional degree (MBA, MD, JD, etc.)",Computer Programming,0
40,more than 1 million,United States of America,United States of America,NA,Self-employed freelancer,male,1,NA,0,English,married or domestic partnership,bachelor's degree,Entrepreneurship,0
42,"less than 100,000",United States of America,United States of America,education,Employed for wages,female,0,50000,0,English,NA,master's degree (non-professional),History,0
42,"less than 100,000",United States of America,United States of America,software development and IT,Self-employed business owner,male,1,65000,0,English,married or domestic partnership,"some college credit, no degree",NA,0
26,"between 100,000 and 1 million",United States of America,United States of America,sales,Employed for wages,male,1,49000,0,English,married or domestic partnership,bachelor's degree,Biology,0
37,"between 100,000 and 1 million",Denmark,Denmark,NA,A stay-at-home parent or homemaker,female,0,NA,0,Danish,married or domestic partnership,master's degree (non-professional),Logistics and Supply Chain Management,0
30,"less than 100,000",United States of America,United States of America,office and administrative support,Employed for wages,male,1,57000,NA,English,married or domestic partnership,"some college credit, no degree",NA,0
36,"between 100,000 and 1 million",United States of America,United States of America,"arts, entertainment, sports, or media",Self-employed freelancer,male,1,NA,1,English,married or domestic partnership,bachelor's degree,Psychology,0
18,"between 100,000 and 1 million",Russia,Russia,NA,Not working but looking for work,male,0,NA,0,Russian,NA,"some college credit, no degree",NA,0
22,"less than 100,000",Netherland Antilles,"Netherlands (Holland, Europe)",NA,NA,male,1,NA,0,Dutch,NA,"some college credit, no degree",NA,0
29,more than 1 million,United Kingdom,United Kingdom,NA,Unable to work,male,1,NA,0,English,NA,high school diploma or equivalent (GED),NA,0
33,more than 1 million,United States of America,United States of America,"arts, entertainment, sports, or media",Employed for wages,female,1,40000,1,Spanish,NA,"professional degree (MBA, MD, JD, etc.)",Music Performance,0
27,"between 100,000 and 1 million",United States of America,United States of America,food and beverage,Employed for wages,male,1,37000,0,English,NA,bachelor's degree,Mathematics,0
36,"less than 100,000",United States of America,United States of America,NA,Not working but looking for work,female,1,NA,1,English,married or domestic partnership,"some college credit, no degree",NA,0
20,"less than 100,000",India,India,NA,Not working but looking for work,female,0,NA,0,Hindi,NA,"some college credit, no degree",NA,0
23,"less than 100,000",Germany,Germany,NA,Unable to work,female,0,NA,0,German,NA,"some college credit, no degree",NA,0
30,more than 1 million,United States of America,United States of America,software development and IT,Employed for wages,male,1,75000,0,English,married or domestic partnership,master's degree (non-professional),Library Science and Administration,0
24,more than 1 million,Mexico,Mexico,food and beverage,Self-employed business owner,male,0,12000,0,Spanish,NA,bachelor's degree,Biotechnology,0
44,more than 1 million,United States of America,United States of America,"arts, entertainment, sports, or media",Self-employed freelancer,male,1,25000,0,English,married or domestic partnership,"trade, technical, or vocational training",NA,0
25,more than 1 million,Colombia,Colombia,construction and extraction,Self-employed freelancer,male,0,40000,0,Spanish,married or domestic partnership,bachelor's degree,Construction Engineering,0
15,"between 100,000 and 1 million",United States of America,United States of America,NA,Not working but looking for work,male,0,NA,0,English,NA,some high school,NA,0
24,"between 100,000 and 1 million",United Kingdom,United Kingdom,sales,Employed for wages,male,0,NA,0,English,NA,bachelor's degree,Psychology,0
26,"between 100,000 and 1 million",India,India,sales,Employed for wages,male,0,NA,1,Kashmiri,NA,bachelor's degree,Computer Science,0
27,more than 1 million,United States of America,United States of America,education,Employed for wages,female,1,45000,1,Vietnamese,NA,master's degree (non-professional),Library Science and Administration,0
30,"between 100,000 and 1 million",United States of America,United States of America,education,Employed for wages,male,0,85000,1,Korean,NA,master's degree (non-professional),Political Science and Government,0
21,"less than 100,000",United States of America,United States of America,food and beverage,Employed for wages,male,0,10000,0,English,NA,"some college credit, no degree",NA,0
36,"between 100,000 and 1 million",United States of America,United States of America,"arts, entertainment, sports, or media",Employed for wages,female,1,40000,0,English,"single, never married",bachelor's degree,Web Page and Digital Design,0
18,more than 1 million,India,India,NA,Not working and not looking for work,female,0,NA,0,English,NA,some high school,NA,0
NA,more than 1 million,United States of America,United States of America,NA,Not working and not looking for work,male,1,NA,0,English,NA,bachelor's degree,Computational and Applied Mathematics,0
27,"less than 100,000",United States of America,United States of America,health care,Employed for wages,male,0,34000,0,English,NA,bachelor's degree,Political Science,0
23,more than 1 million,United States of America,United States of America,"arts, entertainment, sports, or media",Self-employed freelancer,female,0,NA,0,English,NA,bachelor's degree,Communication and Media Studies,0
28,"less than 100,000",United States of America,United States of America,NA,Not working but looking for work,male,0,NA,1,English,NA,bachelor's degree,Psychology,0
35,more than 1 million,Taiwan,Taiwan,NA,Not working but looking for work,male,1,NA,0,Chinese,married or domestic partnership,bachelor's degree,Accounting,0
20,more than 1 million,India,India,NA,Not working and not looking for work,male,1,NA,0,Kannada,NA,some high school,NA,0
31,"between 100,000 and 1 million",Brazil,Brazil,software development and IT,Employed for wages,male,0,7000,0,Portuguese,NA,associate's degree,"System, Networking, and LAN/WAN Management",0
34,"between 100,000 and 1 million",Spain,Spain,NA,Self-employed freelancer,male,0,8000,0,Spanish,married or domestic partnership,some high school,NA,0
39,"between 100,000 and 1 million",United States of America,United States of America,NA,Employed for wages,male,0,70000,0,English,married or domestic partnership,Ph.D.,Environmental Engineering,0
23,"between 100,000 and 1 million",United States of America,United States of America,transportation,Employed for wages,male,0,24000,1,English,NA,associate's degree,Computer Science,0
34,"between 100,000 and 1 million",United States of America,NA,NA,Employed for wages,male,0,NA,0,English,married or domestic partnership,master's degree (non-professional),Psychology,0
39,"less than 100,000",United States of America,United States of America,NA,Self-employed freelancer,male,1,10000,1,English,NA,"some college credit, no degree",NA,0
34,"between 100,000 and 1 million",Colombia,Colombia,NA,Not working but looking for work,male,0,NA,0,Spanish,"single, never married","professional degree (MBA, MD, JD, etc.)",Computer Software Engineering,0
30,"between 100,000 and 1 million",United States of America,United States of America,sales,Employed for wages,male,0,54000,0,English,married or domestic partnership,"some college credit, no degree",NA,0
23,"between 100,000 and 1 million",United States of America,United States of America,legal,Employed for wages,female,1,20000,1,English,NA,bachelor's degree,Anthropology,0
NA,"between 100,000 and 1 million",NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0
15,more than 1 million,India,Kenya,NA,Not working and not looking for work,female,0,NA,0,Gujarati,NA,"trade, technical, or vocational training",NA,0
15,"between 100,000 and 1 million",United Kingdom,United Kingdom,NA,NA,male,0,NA,0,English,NA,no high school (secondary school),NA,0
47,more than 1 million,United States of America,United States of America,software development and IT,Self-employed freelancer,male,1,NA,0,English,NA,"some college credit, no degree",NA,0
24,more than 1 million,Jamaica,Jamaica,NA,Not working but looking for work,male,0,NA,0,English,NA,"some college credit, no degree",NA,0
32,"between 100,000 and 1 million",United States of America,United States of America,sales,Employed for wages,male,1,20000,1,English,married or domestic partnership,"some college credit, no degree",NA,0
23,"less than 100,000",Macedonia,Macedonia,NA,Not working but looking for work,male,0,NA,0,Macedonian,NA,bachelor's degree,Graphic and Printing Equipment Operation,0
54,more than 1 million,United States of America,United States of America,transportation,Employed for wages,male,1,100000,0,English,NA,"some college credit, no degree",NA,0
20,"less than 100,000",United States of America,United States of America,NA,Not working but looking for work,female,1,NA,0,English,NA,"some college credit, no degree",NA,0
45,"between 100,000 and 1 million",United States of America,United States of America,software development and IT,Self-employed freelancer,female,0,NA,0,English,married or domestic partnership,"professional degree (MBA, MD, JD, etc.)",Business Administration and Management,0
20,more than 1 million,Romania,Romania,NA,Not working and not looking for work,male,0,NA,0,Romanian,NA,high school diploma or equivalent (GED),NA,0
19,"between 100,000 and 1 million",Ukraine,NA,NA,NA,male,0,NA,0,Ukrainian,NA,high school diploma or equivalent (GED),NA,0
24,more than 1 million,United States of America,United States of America,NA,Employed for wages,female,0,10000,0,English,NA,bachelor's degree,Social Work,0
30,NA,United Kingdom,United Kingdom,NA,Employed for wages,female,0,NA,0,English,NA,bachelor's degree,Cinematography And Film,0
25,"less than 100,000",Macedonia,Macedonia,NA,Not working but looking for work,male,0,NA,0,Macedonian,NA,high school diploma or equivalent (GED),NA,0
23,"less than 100,000",United States of America,United States of America,NA,Not working but looking for work,male,0,NA,0,English,NA,high school diploma or equivalent (GED),NA,0
30,"between 100,000 and 1 million",Bosnia & Herzegovina,Bosnia & Herzegovina,NA,Not working but looking for work,female,0,NA,0,Bosnian,NA,high school diploma or equivalent (GED),NA,0
25,NA,United States of America,NA,legal,Employed for wages,male,1,25000,NA,NA,NA,bachelor's degree,English,0
54,more than 1 million,United States of America,United States of America,health care,Employed for wages,female,1,NA,1,English,married or domestic partnership,"professional degree (MBA, MD, JD, etc.)",Medicine,0
33,more than 1 million,United States of America,United States of America,software development and IT,Self-employed freelancer,agender,1,100000,0,Esperanto,NA,"some college credit, no degree",NA,0
26,"between 100,000 and 1 million",India,India,software development and IT,Employed for wages,male,1,8000,0,Hindi,NA,bachelor's degree,Engineering,0
24,"between 100,000 and 1 million",United States of America,United States of America,NA,Employed for wages,male,0,22000,0,English,NA,high school diploma or equivalent (GED),NA,0
NA,more than 1 million,United States of America,United States of America,NA,NA,female,0,NA,0,English,NA,master's degree (non-professional),Library Science and Administration,0
21,more than 1 million,Canada,Canada,NA,Not working but looking for work,male,0,NA,0,English,NA,"some college credit, no degree",NA,0
21,"less than 100,000",Poland,Poland,NA,NA,female,0,NA,0,Polish,NA,high school diploma or equivalent (GED),NA,0
23,more than 1 million,Canada,Canada,NA,Not working but looking for work,male,0,NA,0,English,NA,bachelor's degree,Computer Science,0
34,"between 100,000 and 1 million",United States of America,United States of America,sales,Employed for wages,male,1,12000,1,English,NA,"some college credit, no degree",NA,0
37,"less than 100,000",United Kingdom,United Kingdom,NA,Not working and not looking for work,male,1,NA,0,English,"single, never married","trade, technical, or vocational training",NA,0
37,"less than 100,000",United States of America,United States of America,food and beverage,Employed for wages,female,1,17000,1,English,NA,high school diploma or equivalent (GED),NA,0
23,more than 1 million,United States of America,United States of America,NA,Not working and not looking for work,male,0,NA,0,English,NA,"some college credit, no degree",NA,0
29,more than 1 million,United States of America,United States of America,software development and IT,Self-employed freelancer,female,0,70000,0,English,NA,bachelor's degree,Physics,0
36,more than 1 million,United States of America,United States of America,legal,Employed for wages,male,1,30000,1,English,married or domestic partnership,bachelor's degree,Computer and Information Studies,0
18,"less than 100,000",Poland,Poland,NA,Not working but looking for work,male,0,NA,0,Polish,NA,high school diploma or equivalent (GED),NA,0
29,more than 1 million,Turkey,Turkey,education,Employed for wages,male,1,NA,0,Turkish,married or domestic partnership,bachelor's degree,English Language Studies,0
33,"between 100,000 and 1 million",United Kingdom,United Kingdom,NA,Not working but looking for work,male,1,NA,1,Gujarati,NA,bachelor's degree,Information Technology,0
26,"between 100,000 and 1 million",Bulgaria,"Netherlands (Holland, Europe)","arts, entertainment, sports, or media",Employed for wages,male,0,35000,0,English,NA,master's degree (non-professional),Business Administration,0
37,"between 100,000 and 1 million",United States of America,United States of America,finance,Employed for wages,male,1,NA,1,English,married or domestic partnership,associate's degree,Psychology,0
27,"between 100,000 and 1 million",United States of America,United States of America,software development and IT,Employed for wages,female,1,45000,0,English,NA,bachelor's degree,Journalism,0
19,"less than 100,000",Slovenia,Slovenia,NA,Not working but looking for work,male,0,NA,0,Slovene,NA,some high school,NA,0
