IsSoftwareDev,Age,AttendedBootcamp,CityPopulation,CountryCitizen,CountryLive,EmploymentStatus,Gender,HasDebt,HasFinancialDependents,HasHighSpdInternet,HasServedInMilitary,HoursLearning,IsEthnicMinority,IsReceiveDiabilitiesBenefits,LanguageAtHome,MoneyForLearning,MonthsProgramming,SchoolDegree
1,21,0,more than 1 million,Australia,Australia,Employed for wages,male,1,0,1,0,10,0,0,English,1000,18,"some college credit, no degree"
1,25,0,"between 100,000 and 1 million",Algeria,Algeria,Employed for wages,male,0,1,1,0,30,0,0,Arabic,200,92,master's degree (non-professional)
0,28,0,more than 1 million,Nigeria,Nigeria,Employed for wages,male,1,1,1,0,10,0,0,Yoruba,75,2,bachelor's degree
0,23,0,more than 1 million,Italy,Italy,,male,0,0,1,0,8,0,0,Italian,0,24,"some college credit, no degree"
0,21,0,more than 1 million,United States of America,United States of America,Employed for wages,male,0,0,1,0,20,0,0,Spanish,100,12,"some college credit, no degree"
1,40,0,more than 1 million,Vietnam,Vietnam,Employed for wages,male,0,,1,1,4,0,0,Vietnamese,0,6,bachelor's degree
1,27,0,more than 1 million,India,India,Employed for wages,male,0,0,1,0,10,0,0,Kannada,20,84,bachelor's degree
0,23,0,"between 100,000 and 1 million",Poland,Poland,Employed for wages,female,0,0,1,0,3,0,0,Polish,0,2,bachelor's degree
1,24,0,,Philippines,Philippines,Employed for wages,male,1,0,1,0,12,0,0,Tagalog,0,96,associate's degree
1,31,0,"between 100,000 and 1 million",Belgium,Belgium,Self-employed business owner,male,,0,1,0,2,0,0,French,200,150,"professional degree (MBA, MD, JD, etc.)"
1,37,0,"between 100,000 and 1 million",Spain,Spain,Employed for wages,male,1,1,1,0,2,0,0,Spanish,200,108,bachelor's degree
1,26,0,more than 1 million,India,India,Not working but looking for work,male,0,1,1,0,10,0,0,Telugu,0,20,bachelor's degree
0,15,0,more than 1 million,India,India,Not working and not looking for work,male,0,0,0,0,14,0,0,Hindi,0,3,some high school
1,,0,,,,,,,,,,3,,,,0,50,
0,40,0,"between 100,000 and 1 million",Spain,Spain,Not working but looking for work,female,0,0,1,0,20,0,0,Spanish,800,20,high school diploma or equivalent (GED)
0,25,0,more than 1 million,United States of America,United States of America,Employed for wages,male,1,0,1,0,,1,0,Spanish,65,1,"some college credit, no degree"
0,51,0,"between 100,000 and 1 million",United Kingdom,United Kingdom,Employed for wages,female,0,0,1,0,14,0,0,English,320,12,master's degree (non-professional)
0,24,0,more than 1 million,India,India,Not working but looking for work,male,1,0,1,0,4,0,0,Hindi,2500,7,bachelor's degree
0,,0,"less than 100,000",Croatia,Croatia,,male,0,0,1,0,4,0,0,Croatian,0,48,high school diploma or equivalent (GED)
1,32,0,"between 100,000 and 1 million",Hungary,Hungary,Employed for wages,male,0,1,1,0,12,0,0,Hungarian,0,240,"trade, technical, or vocational training"
1,28,0,"between 100,000 and 1 million",Czech Republic,Belgium,Employed for wages,male,1,0,0,0,3,0,0,Czech,50,40,master's degree (non-professional)
0,19,0,"between 100,000 and 1 million",United States of America,United States of America,Not working but looking for work,male,0,0,1,0,40,1,0,English,0,2,high school diploma or equivalent (GED)
0,30,0,more than 1 million,Serbia,Czech Republic,Not working but looking for work,male,0,0,1,1,30,0,0,Serbian,0,12,"trade, technical, or vocational training"
0,42,0,more than 1 million,Bulgaria,Bulgaria,Employed for wages,male,1,1,1,1,10,0,0,Bulgarian,0,,bachelor's degree
0,14,0,more than 1 million,India,India,Doing an unpaid internship,male,0,0,1,0,,0,0,English,10,48,no high school (secondary school)
1,35,0,"between 100,000 and 1 million",Malaysia,Malaysia,Employed for wages,male,1,1,0,0,21,0,0,Malay Bhasa Indonesia,0,100,bachelor's degree
0,30,0,"less than 100,000",United Kingdom,United Kingdom,Employed for wages,male,1,0,1,0,4,0,0,English,50,12,bachelor's degree
0,39,0,"less than 100,000",Spain,Spain,Not working but looking for work,male,0,0,1,0,30,0,0,Spanish,0,10,associate's degree
1,29,0,"between 100,000 and 1 million","Netherlands (Holland, Europe)","Netherlands (Holland, Europe)",Self-employed freelancer,male,1,0,1,0,5,0,0,English,0,60,bachelor's degree
1,31,0,more than 1 million,Bulgaria,Sweden,Employed for wages,male,0,1,1,0,,0,0,Bulgarian,0,160,Ph.D.
1,38,0,"less than 100,000",Poland,Poland,Self-employed freelancer,male,1,1,1,0,5,0,0,Polish,100,240,bachelor's degree
0,33,1,more than 1 million,Ireland,United Kingdom,,male,0,0,1,0,60,0,0,English,20000,3,master's degree (non-professional)
0,32,0,"between 100,000 and 1 million",Latvia,Latvia,Not working but looking for work,male,1,0,1,0,30,0,0,Latvian,500,5,bachelor's degree
0,21,0,"between 100,000 and 1 million",Belarus,Belarus,Not working but looking for work,male,0,0,1,0,10,0,0,Russian,15,12,high school diploma or equivalent (GED)
1,26,0,more than 1 million,Ukraine,Ukraine,Employed for wages,male,0,1,1,0,2,0,0,Russian,500,36,bachelor's degree
1,32,0,"less than 100,000","Netherlands (Holland, Europe)","Netherlands (Holland, Europe)",Self-employed business owner,male,1,0,1,0,8,0,0,Dutch,300,20,bachelor's degree
0,28,0,more than 1 million,Philippines,Philippines,Self-employed freelancer,male,1,1,0,0,25,0,0,English,1500,3,bachelor's degree
0,19,0,"between 100,000 and 1 million",Bulgaria,Germany,Not working but looking for work,female,0,0,1,0,15,0,0,Bulgarian,100,6,high school diploma or equivalent (GED)
0,35,0,"between 100,000 and 1 million","Netherlands (Holland, Europe)","Netherlands (Holland, Europe)",Employed for wages,female,0,0,1,0,10,0,0,Dutch,50,3,"some college credit, no degree"
1,27,0,more than 1 million,Ukraine,Ukraine,Self-employed business owner,male,0,0,1,0,4,1,0,Ukrainian,0,60,master's degree (non-professional)
0,,0,"less than 100,000",United States of America,United States of America,,female,0,0,1,0,,0,0,English,1200,,"professional degree (MBA, MD, JD, etc.)"
0,19,0,"between 100,000 and 1 million",India,United States of America,,female,0,0,1,0,3,1,0,Telugu,300,7,high school diploma or equivalent (GED)
0,29,1,more than 1 million,Ukraine,Ukraine,Not working but looking for work,male,0,0,1,1,60,1,0,Ukrainian,,0,master's degree (non-professional)
0,17,0,"between 100,000 and 1 million",India,India,Not working and not looking for work,male,0,0,1,0,10,0,0,Gujarati,20,7,high school diploma or equivalent (GED)
0,21,0,"between 100,000 and 1 million",France,France,Employed for wages,male,0,0,1,0,8,0,0,French,6000,14,some high school
1,34,0,more than 1 million,Russia,Russia,Employed for wages,male,1,1,1,0,6,0,1,Russian,15,60,"professional degree (MBA, MD, JD, etc.)"
0,31,0,"less than 100,000",Poland,Poland,Employed for wages,male,0,0,1,0,10,0,0,Polish,0,2,bachelor's degree
1,28,0,more than 1 million,Ukraine,Ukraine,Employed for wages,male,0,1,1,0,10,0,0,Russian,500,12,master's degree (non-professional)
0,34,0,"less than 100,000",United Kingdom,United Kingdom,Not working but looking for work,male,1,0,1,0,30,0,1,English,100,24,bachelor's degree
0,31,0,"between 100,000 and 1 million",Philippines,Philippines,Not working but looking for work,genderqueer,0,0,1,0,10,0,0,Tagalog,200,2,bachelor's degree
0,32,0,,United States of America,United States of America,Not working but looking for work,female,1,0,1,0,,1,0,English,,,bachelor's degree
0,32,0,more than 1 million,Belgium,Belgium,Employed for wages,female,0,0,1,0,5,0,0,French,0,1,"professional degree (MBA, MD, JD, etc.)"
0,38,0,more than 1 million,South Africa,South Africa,Employed for wages,male,1,1,0,0,2,1,0,English,0,6,"some college credit, no degree"
0,33,0,more than 1 million,India,India,Employed for wages,male,0,0,0,0,5,0,0,Telugu,200,12,"professional degree (MBA, MD, JD, etc.)"
0,19,0,"between 100,000 and 1 million",Poland,United Kingdom,Not working but looking for work,male,0,0,1,0,2,0,0,Polish,50,20,high school diploma or equivalent (GED)
0,42,0,more than 1 million,United States of America,United States of America,Not working but looking for work,male,1,1,1,0,20,0,0,English,100,3,"some college credit, no degree"
1,26,0,more than 1 million,,,Employed for wages,,0,1,1,0,10,0,0,,0,48,bachelor's degree
0,33,0,more than 1 million,Russia,Poland,Employed for wages,female,0,0,1,0,1,0,0,Polish,0,3,master's degree (non-professional)
0,37,0,more than 1 million,South Africa,Taiwan,Employed for wages,male,0,0,1,0,15,1,0,English,0,6,"trade, technical, or vocational training"
1,21,0,"between 100,000 and 1 million",Malaysia,Malaysia,,male,0,0,0,0,60,0,0,Mandarin Chinese,0,36,bachelor's degree
1,,0,,,,,male,,,,,5,,,,0,,
1,25,0,more than 1 million,China,China,Employed for wages,male,0,0,1,0,40,0,0,Chinese,800,24,bachelor's degree
0,29,0,more than 1 million,United Kingdom,United Kingdom,Employed for wages,male,1,0,1,0,1,1,0,English,100,3,master's degree (non-professional)
0,50,0,"between 100,000 and 1 million",Italy,Italy,Employed for wages,male,0,0,0,1,7,0,0,Italian,,3,bachelor's degree
1,29,0,more than 1 million,Malaysia,Singapore,Employed for wages,female,0,0,1,0,12,0,0,English,0,24,bachelor's degree
0,22,0,more than 1 million,Ukraine,Ukraine,Not working but looking for work,male,0,0,1,0,6,1,0,Ukrainian,0,1,bachelor's degree
0,26,0,"less than 100,000",United States of America,United States of America,Employed for wages,male,1,0,1,0,30,0,0,English,860,5,high school diploma or equivalent (GED)
1,21,,"less than 100,000",India,India,,female,1,1,,,,1,,Malayalam,,,bachelor's degree
1,46,1,more than 1 million,Poland,Poland,Employed for wages,male,1,1,1,1,10,1,0,English,18000,120,bachelor's degree
1,26,0,"between 100,000 and 1 million",Portugal,United Kingdom,Employed for wages,male,1,0,1,0,5,0,0,Portuguese,0,4,bachelor's degree
0,25,0,more than 1 million,Kazakhstan,United Arab Emirates,Employed for wages,male,0,1,1,0,40,1,0,Russian,1000,18,"some college credit, no degree"
0,34,0,"less than 100,000",Great Britain,Ireland,Self-employed freelancer,female,0,1,0,0,20,1,0,English,0,2,bachelor's degree
1,23,0,"between 100,000 and 1 million",Malaysia,Malaysia,Employed for wages,female,0,0,1,0,5,1,0,English,0,36,bachelor's degree
1,20,0,more than 1 million,Pakistan,Pakistan,Not working but looking for work,male,0,0,1,0,5,0,0,Urdu,0,36,high school diploma or equivalent (GED)
0,17,0,"less than 100,000",Romania,Belgium,Doing an unpaid internship,male,0,0,0,0,2,1,0,Romanian,0,10,some high school
0,28,0,"between 100,000 and 1 million",Finland,Finland,Employed for wages,male,0,0,1,1,2,0,0,Finnish,0,4,master's degree (non-professional)
1,20,0,,Germany,Germany,Employed for wages,male,0,1,1,0,2,0,1,German,70,72,some high school
1,30,0,more than 1 million,Denmark,Denmark,Self-employed freelancer,male,1,1,1,0,10,0,0,Danish,500,72,high school diploma or equivalent (GED)
0,30,0,more than 1 million,Croatia,Sweden,Employed for wages,female,0,0,1,0,40,0,0,Croatian,0,1,bachelor's degree
0,47,0,more than 1 million,Romania,Romania,Not working but looking for work,male,1,1,1,0,50,0,0,Romanian,100,5,"professional degree (MBA, MD, JD, etc.)"
1,26,0,more than 1 million,Moldova,Germany,Employed for wages,male,0,1,1,0,3,1,0,Russian,50,96,bachelor's degree
0,37,0,"between 100,000 and 1 million",United States of America,Israel,Employed for wages,male,1,1,0,1,9,0,0,English,0,14,bachelor's degree
1,,0,"between 100,000 and 1 million",India,India,,,0,0,0,0,10,1,0,Hindi,0,13,bachelor's degree
1,24,0,more than 1 million,Nigeria,Nigeria,Employed for wages,male,0,1,0,0,50,1,0,English,5000,50,bachelor's degree
0,,,,,,,,,,,,,,,,,,
0,30,0,more than 1 million,United States of America,United States of America,Not working but looking for work,female,1,0,0,0,10,1,0,English,0,0,"some college credit, no degree"
0,32,0,"less than 100,000",United Kingdom,United Kingdom,Employed for wages,female,1,1,1,0,,0,0,English,0,,bachelor's degree
0,36,0,"less than 100,000",France,France,Employed for wages,male,0,1,1,0,10,0,0,French,250,18,"professional degree (MBA, MD, JD, etc.)"
1,21,0,more than 1 million,India,India,Doing an unpaid internship,male,0,0,1,0,30,,0,Hindi,200,24,bachelor's degree
0,25,0,more than 1 million,Bulgaria,Bulgaria,Employed for wages,female,0,0,1,0,10,0,0,Bulgarian,0,1,"professional degree (MBA, MD, JD, etc.)"
0,33,0,"between 100,000 and 1 million",United Kingdom,United Kingdom,Employed for wages,male,1,0,1,0,5,0,0,English,0,18,"some college credit, no degree"
0,21,0,more than 1 million,Egypt,Egypt,Not working but looking for work,male,0,0,0,0,6,0,0,Arabic,0,24,bachelor's degree
1,25,0,more than 1 million,Turkey,Turkey,Employed for wages,male,0,0,1,1,5,0,0,Turkish,500,8,bachelor's degree
0,26,0,"less than 100,000",Germany,Germany,Employed for wages,male,0,1,1,0,10,0,0,German,200,12,some high school
0,27,0,more than 1 million,Denmark,Denmark,Employed for wages,male,0,1,1,0,10,0,0,Danish,0,5,"trade, technical, or vocational training"
0,31,1,more than 1 million,United States of America,United States of America,Self-employed business owner,male,0,0,1,0,30,1,0,Arabic,150,6,bachelor's degree
1,28,0,"less than 100,000",Denmark,Denmark,Employed for wages,male,1,0,1,0,5,0,0,Icelandic,100,60,bachelor's degree
0,32,0,more than 1 million,Greece,Greece,Self-employed business owner,male,0,0,1,1,20,0,0,Greek,200,24,master's degree (non-professional)
1,34,0,"between 100,000 and 1 million",Portugal,Portugal,Employed for wages,male,0,0,1,0,2,0,0,Portuguese,0,108,master's degree (non-professional)
0,26,0,"less than 100,000",Slovakia,Slovakia,Employed for wages,male,0,0,1,0,5,0,0,Slovak,0,12,master's degree (non-professional)
1,22,0,"between 100,000 and 1 million",France,France,Doing an unpaid internship,male,0,0,1,0,5,0,0,French,600,10,"some college credit, no degree"
0,32,0,more than 1 million,United States of America,United States of America,,male,0,0,1,0,10,0,0,English,1500,6,bachelor's degree
0,25,0,"between 100,000 and 1 million",Philippines,Philippines,Self-employed freelancer,male,0,1,0,0,30,0,1,English,0,60,bachelor's degree
1,32,0,"between 100,000 and 1 million",Russia,Russia,Employed for wages,male,0,1,1,0,6,0,0,Russian,2000,216,master's degree (non-professional)
0,46,0,"less than 100,000",Portugal,France,Employed for wages,male,1,1,1,1,1,1,0,Portuguese,100,5,bachelor's degree
0,16,0,"less than 100,000",Bosnia & Herzegovina,Bosnia & Herzegovina,,male,0,0,1,0,5,0,0,Croatian,100,6,some high school
1,23,0,"between 100,000 and 1 million",Malaysia,Malaysia,Doing an unpaid internship,male,0,0,1,0,50,0,0,Malay Bhasa Indonesia,25,48,bachelor's degree
0,22,0,"between 100,000 and 1 million",Portugal,Portugal,Not working but looking for work,male,0,0,1,0,20,0,0,Portuguese,2500,6,"some college credit, no degree"
1,21,0,"between 100,000 and 1 million",India,India,,male,,0,0,0,60,,0,Hindi,0,3,bachelor's degree
0,26,0,more than 1 million,United States of America,United States of America,Employed for wages,male,1,0,1,0,3,0,0,English,0,7,bachelor's degree
0,24,0,"between 100,000 and 1 million",Estonia,Estonia,Not working but looking for work,female,0,0,1,0,8,0,0,Russian,1000,6,high school diploma or equivalent (GED)
0,,1,"less than 100,000",,,,male,0,,1,,,0,0,,,,bachelor's degree
0,23,0,more than 1 million,Zambia,Zambia,Not working but looking for work,male,0,0,0,0,50,0,0,,1000,36,"some college credit, no degree"
0,44,0,"between 100,000 and 1 million","Netherlands (Holland, Europe)","Netherlands (Holland, Europe)",Self-employed freelancer,male,0,0,1,0,20,0,0,Dutch,90,2,bachelor's degree
1,39,0,more than 1 million,Australia,Australia,Employed for wages,male,0,1,1,0,4,0,0,English,0,192,bachelor's degree
0,34,0,"between 100,000 and 1 million",Bulgaria,Bulgaria,Not working and not looking for work,male,1,0,1,0,60,0,0,Bulgarian,0,12,master's degree (non-professional)
1,34,0,more than 1 million,Spain,Hong Kong,Employed for wages,male,0,0,1,0,10,1,0,English,2000,200,master's degree (non-professional)
0,33,0,more than 1 million,United States of America,United States of America,Employed for wages,male,1,1,1,0,2,0,0,English,500,28,"some college credit, no degree"
1,22,0,more than 1 million,France,France,Employed for wages,male,0,0,1,0,5,0,0,French,0,36,"some college credit, no degree"
0,31,0,more than 1 million,Serbia,Serbia,Not working but looking for work,female,0,0,1,0,35,0,0,Serbian,0,1,master's degree (non-professional)
0,23,0,"between 100,000 and 1 million",Nigeria,United Kingdom,,male,0,0,1,0,21,0,0,English,0,8,bachelor's degree
0,20,0,"less than 100,000",Belgium,Belgium,,male,0,0,1,0,,0,0,French,0,30,bachelor's degree
0,23,0,more than 1 million,Germany,Germany,,male,0,0,0,0,15,0,0,German,100,3,high school diploma or equivalent (GED)
0,55,0,"less than 100,000",Great Britain,Great Britain,Unable to work,male,0,0,1,0,9,0,1,English,100,12,no high school (secondary school)
1,22,0,more than 1 million,Ukraine,Ukraine,Employed for wages,male,0,0,1,0,10,0,0,Russian,0,18,master's degree (non-professional)
0,28,0,more than 1 million,United States of America,United States of America,Employed for wages,male,1,0,1,0,20,1,0,English,0,3,bachelor's degree
0,41,0,"less than 100,000",Ireland,Ireland,Not working but looking for work,female,1,0,1,0,20,0,0,English,0,3,associate's degree
0,28,0,more than 1 million,Nigeria,Nigeria,Employed for wages,male,0,0,1,0,1,0,0,English,,24,master's degree (non-professional)
1,26,0,"between 100,000 and 1 million",France,Finland,Self-employed freelancer,male,0,1,1,0,10,0,0,French,0,60,high school diploma or equivalent (GED)
1,28,0,"less than 100,000",Poland,Poland,Self-employed freelancer,male,1,1,1,0,3,0,0,Polish,50,13,bachelor's degree
0,42,0,more than 1 million,United Kingdom,United Kingdom,Employed for wages,male,0,0,1,0,3,0,0,English,0,48,bachelor's degree
1,25,0,"less than 100,000",India,India,Employed for wages,male,1,1,0,0,4,1,0,Malayalam,0,24,bachelor's degree
1,34,0,more than 1 million,India,India,Employed for wages,male,1,1,1,0,20,0,0,Telugu,500,100,bachelor's degree
0,32,1,"less than 100,000",Australia,Austria,Not working but looking for work,male,0,0,1,1,30,0,0,German,4000,6,bachelor's degree
0,23,0,more than 1 million,Romania,Romania,Not working but looking for work,male,0,0,1,0,35,0,0,Romanian,0,25,high school diploma or equivalent (GED)
0,32,,more than 1 million,Russia,Russia,Employed for wages,male,0,0,1,0,5,0,,Russian,120,,some high school
0,40,0,more than 1 million,United States of America,United States of America,Employed for wages,female,0,0,1,0,15,1,0,English,0,4,"some college credit, no degree"
0,22,0,"between 100,000 and 1 million",Germany,Germany,Not working and not looking for work,male,1,0,1,0,30,0,0,German,0,80,bachelor's degree
0,29,0,more than 1 million,United Kingdom,Hong Kong,Employed for wages,male,0,0,1,0,4,1,0,English,300,42,"professional degree (MBA, MD, JD, etc.)"
0,22,0,more than 1 million,India,India,Not working but looking for work,female,0,1,0,0,20,0,0,Hindi,150,5,bachelor's degree
0,15,0,"less than 100,000",Oman,Oman,,male,0,0,0,0,3,0,0,Arabic,0,36,some high school
0,17,0,"between 100,000 and 1 million",Austria,Austria,Not working and not looking for work,male,0,0,1,0,2,0,0,Serbian,150,3,high school diploma or equivalent (GED)
0,37,0,"between 100,000 and 1 million",United Kingdom,United Kingdom,Employed for wages,male,1,1,1,1,10,0,0,English,15,2,no high school (secondary school)
1,32,0,"between 100,000 and 1 million",Bosnia & Herzegovina,Bosnia & Herzegovina,Employed for wages,male,0,1,1,0,20,0,0,Bosnian,2000,60,master's degree (non-professional)
0,19,0,more than 1 million,Vietnam,Canada,,male,0,0,1,0,80,0,0,Russian,0,36,high school diploma or equivalent (GED)
0,,0,"between 100,000 and 1 million",,,,male,,,0,,,1,,,0,7,"professional degree (MBA, MD, JD, etc.)"
1,32,1,more than 1 million,United Kingdom,United Kingdom,Employed for wages,male,1,0,1,0,20,0,0,English,10000,11,bachelor's degree
,26,0,"less than 100,000",Austria,Austria,,male,1,0,1,1,10,0,0,German,500,12,"trade, technical, or vocational training"
0,43,0,"between 100,000 and 1 million",Germany,Germany,Employed for wages,male,0,1,1,1,6,0,0,German,0,3,no high school (secondary school)
1,29,0,"less than 100,000",Italy,Italy,Employed for wages,male,0,0,,0,6,0,0,Italian,400,36,"trade, technical, or vocational training"
0,18,0,"between 100,000 and 1 million",South Africa,South Africa,Not working and not looking for work,male,0,0,1,0,32,0,0,English,0,6,some high school
0,27,0,more than 1 million,United States of America,United States of America,Not working and not looking for work,male,1,0,1,0,30,1,0,English,200,3,bachelor's degree
1,29,0,more than 1 million,India,India,Employed for wages,male,0,1,1,0,5,0,0,Hindi,0,12,bachelor's degree
0,22,0,"between 100,000 and 1 million",Italy,Italy,Not working but looking for work,male,0,0,1,0,7,0,0,Spanish,0,13,bachelor's degree
0,30,0,more than 1 million,New Zealand,New Zealand,Employed for wages,female,0,0,1,0,,0,0,English,0,4,master's degree (non-professional)
1,20,0,more than 1 million,Macedonia,Macedonia,Self-employed freelancer,male,0,0,1,0,20,0,0,Macedonian,0,15,high school diploma or equivalent (GED)
0,41,0,more than 1 million,United States of America,United States of America,Employed for wages,male,1,0,,,15,0,,English,3000,36,bachelor's degree
1,29,0,"less than 100,000",Canada,Israel,,male,1,1,1,1,5,0,0,Hebrew,0,6,some high school
0,26,0,"between 100,000 and 1 million",United Kingdom,United Kingdom,Not working and not looking for work,male,1,0,1,0,12,0,0,English,40,2,some high school
0,21,0,"less than 100,000",Ireland,Ireland,,male,0,0,1,0,10,0,0,English,0,24,"some college credit, no degree"
0,48,0,"between 100,000 and 1 million",United Kingdom,United Kingdom,Employed for wages,male,1,1,1,0,15,0,0,English,0,2,"professional degree (MBA, MD, JD, etc.)"
0,42,0,more than 1 million,United States of America,United States of America,Employed for wages,male,1,1,1,0,1,1,0,English,60,3,"some college credit, no degree"
0,46,,"between 100,000 and 1 million",France,France,Employed for wages,male,0,1,1,1,,0,0,French,0,,"professional degree (MBA, MD, JD, etc.)"
1,32,0,more than 1 million,China,China,Employed for wages,male,0,1,1,0,,0,0,Hakka,,,bachelor's degree
0,29,0,"between 100,000 and 1 million",Russia,Russia,Employed for wages,male,1,1,1,0,15,1,0,Russian,0,120,some high school
0,24,0,"between 100,000 and 1 million",Romania,United Kingdom,Not working but looking for work,male,1,0,1,0,30,0,0,Romanian,120,60,bachelor's degree
1,20,0,more than 1 million,Austria,Austria,Employed for wages,male,0,0,1,1,20,0,,German,0,12,some high school
1,33,0,"between 100,000 and 1 million",India,Finland,Employed for wages,male,0,1,1,0,4,0,0,Telugu,150,36,bachelor's degree
0,19,0,"less than 100,000",India,India,,male,0,0,1,0,30,0,0,Hindi,0,15,no high school (secondary school)
0,28,0,"less than 100,000",United Kingdom,United Kingdom,,male,1,0,1,,5,1,0,English,400,18,bachelor's degree
0,26,0,more than 1 million,United States of America,China,Employed for wages,male,1,1,1,0,15,0,0,English,30,2,bachelor's degree
0,43,0,more than 1 million,Canary Islands,Chile,Employed for wages,male,0,0,1,0,12,0,0,Spanish,0,1,bachelor's degree
0,17,0,more than 1 million,India,India,,male,0,0,0,0,0,0,0,Tamil,0,2,high school diploma or equivalent (GED)
1,19,0,"less than 100,000","Netherlands (Holland, Europe)","Netherlands (Holland, Europe)",Employed for wages,male,0,0,1,0,20,0,0,Dutch,80,36,high school diploma or equivalent (GED)
0,29,0,"less than 100,000",France,France,Employed for wages,male,0,0,1,0,10,0,0,French,200,3,bachelor's degree
0,28,0,"between 100,000 and 1 million",United Kingdom,United Kingdom,Self-employed business owner,male,1,0,1,0,5,0,0,English,0,10,bachelor's degree
1,59,0,more than 1 million,United Kingdom,United Kingdom,Not working but looking for work,male,1,1,1,0,30,0,0,English,500,450,Ph.D.
1,24,0,"between 100,000 and 1 million",Singapore,Singapore,Employed for wages,female,0,0,1,0,3,0,0,English,0,24,bachelor's degree
0,21,0,"between 100,000 and 1 million",Portugal,Germany,,male,0,0,1,0,4,0,0,Portuguese,0,36,bachelor's degree
0,25,0,"less than 100,000",United Kingdom,United Kingdom,Self-employed freelancer,female,0,0,,0,12,0,0,English,0,2,bachelor's degree
0,29,0,"less than 100,000",Australia,Australia,Employed for wages,male,1,1,1,0,15,0,0,English,35,2,"trade, technical, or vocational training"
0,51,0,"between 100,000 and 1 million",Spain,Spain,Employed for wages,male,1,1,1,0,6,0,0,Spanish,2000,60,"professional degree (MBA, MD, JD, etc.)"
1,20,0,more than 1 million,United Kingdom,United Kingdom,Employed for wages,male,0,0,1,0,10,0,0,English,0,24,no high school (secondary school)
0,27,0,"between 100,000 and 1 million",Ireland,Ireland,Employed for wages,male,0,0,1,0,6,0,0,English,0,12,bachelor's degree
1,24,0,more than 1 million,Australia,Australia,Employed for wages,male,1,0,1,0,6,0,0,English,0,5,bachelor's degree
1,28,0,more than 1 million,France,France,Employed for wages,male,1,1,1,0,40,0,0,French,50,24,bachelor's degree
1,26,0,more than 1 million,United States of America,United States of America,Employed for wages,female,1,0,1,0,15,0,0,English,3000,24,bachelor's degree
0,22,0,more than 1 million,Tajikistan,Indonesia,Not working but looking for work,male,0,0,1,0,7,0,0,Uzbek,0,3,bachelor's degree
1,25,0,"less than 100,000",New Zealand,New Zealand,Employed for wages,male,1,1,1,0,10,0,0,English,100,32,master's degree (non-professional)
0,16,0,more than 1 million,Hong Kong,Hong Kong,,male,0,0,1,0,8,0,0,Yue (Cantonese) Chinese,0,15,some high school
0,37,0,more than 1 million,United States of America,United States of America,Employed for wages,male,1,1,1,1,3,1,0,English,300,10,"some college credit, no degree"
0,22,0,"between 100,000 and 1 million",India,India,Not working but looking for work,male,0,0,0,0,10,0,0,Tamil,0,5,bachelor's degree
0,21,0,"between 100,000 and 1 million",United Kingdom,United Kingdom,,female,0,0,1,0,5,0,0,English,750,24,"some college credit, no degree"
1,30,0,more than 1 million,United Kingdom,United Kingdom,Employed for wages,male,1,0,1,0,20,1,0,English,200,12,bachelor's degree
0,30,0,more than 1 million,Greece,Greece,Self-employed freelancer,female,1,0,1,0,20,0,0,Greek,600,16,master's degree (non-professional)
1,24,0,more than 1 million,India,India,Employed for wages,male,0,1,1,0,8,0,0,Hindi,200,30,bachelor's degree
1,26,0,more than 1 million,Germany,Germany,Employed for wages,male,0,0,1,0,30,0,0,German,40,23,"some college credit, no degree"
0,21,0,more than 1 million,Portugal,Portugal,Self-employed freelancer,male,0,0,0,0,2,0,0,Portuguese,80,9,"trade, technical, or vocational training"
0,25,0,"less than 100,000",United States of America,United States of America,Employed for wages,male,1,0,1,0,20,0,0,English,1000,8,bachelor's degree
0,21,0,"between 100,000 and 1 million",Germany,Germany,Not working and not looking for work,male,0,0,0,0,5,0,0,Arabic,50,6,"some college credit, no degree"
0,20,0,"between 100,000 and 1 million",Pakistan,Pakistan,Not working but looking for work,,1,0,0,0,6,1,1,Punjabi,0,1,bachelor's degree
0,27,0,more than 1 million,United Kingdom,Japan,Employed for wages,male,1,0,1,0,25,1,0,English,40,3,bachelor's degree
1,22,0,"between 100,000 and 1 million",India,India,Employed for wages,male,0,0,1,0,12,0,0,Bengali,0,36,bachelor's degree
1,35,0,"between 100,000 and 1 million",United States of America,United States of America,Self-employed freelancer,male,1,1,1,0,40,0,0,English,500,6,bachelor's degree
1,49,0,"less than 100,000",United States of America,United States of America,Employed for wages,male,1,1,1,0,15,1,0,English,200,6,master's degree (non-professional)
1,23,,more than 1 million,Australia,Australia,Employed for wages,male,0,1,1,0,,0,0,English,0,,bachelor's degree
0,38,0,"between 100,000 and 1 million",United States of America,United States of America,Employed for wages,female,0,1,1,0,8,0,0,English,0,2,"some college credit, no degree"
0,51,0,"between 100,000 and 1 million",United Kingdom,United Kingdom,Not working but looking for work,male,0,0,1,0,20,0,0,English,2000,6,master's degree (non-professional)
0,23,0,more than 1 million,United Kingdom,United Kingdom,Employed for wages,male,0,0,1,0,5,0,0,English,0,2,bachelor's degree
0,44,1,more than 1 million,United States of America,United States of America,Employed for wages,female,1,1,1,0,2,1,0,English,1000,,bachelor's degree
0,33,0,"less than 100,000",Poland,Germany,Not working but looking for work,male,1,0,1,0,21,0,0,Polish,0,3,high school diploma or equivalent (GED)
